time,X1,X2,X3,SD1,SD2,SD3
425.36,23138276952667.2,15927745.0018213,-5.9758229549673,809657196150.909,200.142013867934,0.0379707378782727
129.92,9915236284887.97,16061659.7156341,-8.62996001711139,884967235462.633,163.058850054255,0.0379707378782727
301.36,10516997684893.5,16061769.7174902,-8.57928167795001,812289163736.348,161.689386018166,0.0379707378782727
61.44,9944390908437,16061801.164961,-8.58589397980665,837309423974.068,173.353033122233,0.0379707378782727
84.32,-17134548666434.5,15942820.806381,-10.5381015103014,780925053239.505,160.493754889769,0.0379707378782727
236.4,34276412628654.7,15990267.3836114,-5.394310512984,830488200024.235,172.250118786467,0.0379707378782727
222.48,7725177577226.3,16060195.7990797,-8.65523073907988,845060470866.873,170.185102951933,0.0379707378782727
364.24,-20470779453339.2,15944035.702563,-10.5332512588333,859130412412.65,160.604600578287,0.0379707378782727
295.44,24443374774656.7,15930412.6749595,-5.61381725706019,763854460793.222,157.2795917347,0.0379707378782727
263.12,-5216431831172.44,16026294.9643795,-9.46280404283136,799562490719.028,160.516879395408,0.0379707378782727
297.84,9852172175905.94,16062000.7981586,-8.65584026287793,759287157542.562,166.820152712624,0.0379707378782727
297.2,16485659988718.4,16046654.1758036,-7.87791564367791,853207850723.108,170.822659553124,0.0379707378782727
379.68,10221708895712.9,16061895.9897128,-8.58037286021765,811802852964.161,182.021889156331,0.0379707378782727
488.32,11614640083486.9,16062007.4658519,-8.6323237072167,871948972229.844,171.924330401815,0.0379707378782727
216.96,21372599366210.5,16031108.4498552,-7.15059509806517,762250999500.764,150.280779005176,0.0379707378782727
218.8,10192418105102.3,16062308.2099082,-8.69831196434325,760503287219.408,185.743032168569,0.0379707378782727
422.4,9333314926116.74,16061587.9179779,-8.62107411249693,786977501827.877,154.295789378741,0.0379707378782727
95.04,9644013820606.24,15923802.6613652,-7.46285774902008,772244475424.892,167.646207286521,0.0379707378782727
112.16,9463544362381.81,16061972.4280541,-8.61186899741692,805931389836.086,160.912655026631,0.0379707378782727
465.84,35263291305585.9,15949555.1368804,-4.74032811586779,802609351491.229,158.293270021652,0.0379707378782727
330.08,9444932381110,16061828.4210787,-8.58135148769857,849869908794.241,166.724845730106,0.0379707378782727
6.32,34667805783883.3,15982495.0105926,-5.0665651697233,829797660740.138,163.977673936238,0.0379707378782727
315.2,14071544822509.2,15925144.9905099,-6.61930585202622,768939478350.245,161.929918979961,0.0379707378782727
376.88,23726684131060.2,16026553.4608238,-6.9726926037051,771010301255.354,164.95446708694,0.0379707378782727
449.36,8121640095307.06,16061935.9801037,-8.62881248835598,810390346040.316,164.136371355096,0.0379707378782727
314,-19833852206799.5,15960275.1023635,-10.872036556185,775647310122.351,176.234548377061,0.0379707378782727
420,8425218517986.7,16062125.136973,-8.6565141292448,787819408913.611,175.545544392263,0.0379707378782727
344.56,-9898254865960.18,15930545.7047943,-9.7228054585938,877653699595.469,169.619461823961,0.0379707378782727
300.96,9393314668524.5,16061950.1078171,-8.60300837753596,797903856105.96,159.344473509508,0.0379707378782727
100.24,10326774866584.5,16062138.9226702,-8.59729535375924,853452626953.552,158.350431673296,0.0379707378782727
219.76,10800527684467.8,16061902.5527259,-8.61911483139692,761702325027.601,167.802123747111,0.0379707378782727
186.72,27598125082794.5,16013078.7977021,-6.31256713974123,803240442806.333,165.995929087853,0.0379707378782727
378.4,8509899180031.56,16062131.8548003,-8.62813669105216,804465992070.134,166.145302560767,0.0379707378782727
472,10147924768108.5,16062018.6828745,-8.66517142292652,876938057158.66,164.13090763658,0.0379707378782727
340.64,11278794789414,16061971.3823047,-8.61790290387973,814547551314.545,162.27669564809,0.0379707378782727
56.8,25633898508601.8,16017705.1527264,-6.70097465468563,802788950503.452,159.508078501344,0.0379707378782727
16.64,29152276271637.1,16007521.861097,-6.18693522376861,781835522129.792,147.203331440591,0.0379707378782727
152.96,791389416718.571,16036731.6349449,-9.22054993816569,810867610298.218,150.48618886122,0.0379707378782727
117.92,10171696842694.9,16062348.5491269,-8.5295640697748,788234673505.418,158.754902616267,0.0379707378782727
